,1,2,4,8,12,16,24,32,48
2000, 3248.7, 6548.0, 12193.2, 20741.3, 22642.4, 23635.5, 28282.2, 61087.4, 66037.9
6000, 4940.3, 9616.2, 18520.7, 26519.9, 30052.0, 31123.9, 30433.2, 30094.4, 25678.5
speedup_2000, 0.62, 1.25, 2.32, 3.95, 4.31, 4.5, 5.39, 11.64, 12.58
speedup_6000, 0.96, 1.88, 3.62, 5.18, 5.87, 6.08, 5.94, 5.88, 5.01
