;500;1500;2500;3500;4500;
L2_TCM;6605143;59088333;188301917;347141364;548516934;
L2_TCA;42999743;383391372;1063569521;2083862126;3443163257;
L3_TCM;22725;6445995;126037248;285637707;483635433;
L3_TCA;6605143;59088333;188301917;347141364;548516934;
L2_MR;15,3608894825255;15,412014279758;17,7047116603109;16,6585571890182;15,9306106930845;
L3_MR;0,344050083397135;10,9090825087247;66,9335979197705;82,2828209547509;88,1714680115965;
