;500;1500;2500;3500;4500;
L2_TCM;7482883;64608178;203842617;378330386;596010233;
L2_TCA;43488233;384406863;1064493291;2085150618;3444762593;
L3_TCM;77430;20889924;143061371;304812337;503749000;
L3_TCA;7482883;64608178;203842617;378330386;596010233;
L2_MR;17.22;16.80;19.12;18.14;17.30;
L3_MR;1.03;32.33;70.18;80.57;84.52;
