TIME,500,1500,2500,3500,4500
O0,0.27,2.816,9.536,24.205,42.117
O1,0.082,1.335,4.060,10.330,16.287
O2,0.066,1.144,3.814,8.088,13.794
O3,0.06,0.997,3.727,10.721,13.827
Ofast,0.061,1.080,4.840,8.047,13.297
xhost,0.076,0.686,1.955,3.840,6.385
initial,0.258,3.263,11.877,21.410,41.383
