,500,1500,2500,3500,4500
O0,1742.603,938.804,710.113,669.461,673.002
O1,1604.766,1055.381,718.376,666.397,668.257
O2,1694.027,947.044,715.539,653.240,659.748
O3,1633.961,996.130,713.757,663.066,665.938
Ofast,1652.146,947.935,708.914,658.631,665.270
xhost,1714.786,985.228,726.759,666.138,668.490
initial,426.535,303.406,231.540,251.755,215.306
