,500,1500,2500,3500,4500
O0,420.26,367.66,255.584,259.515,254.386
O1,926.838,850.533,608.908,555.088,558.415
O2,1441.51,1453.0,1408.03,1403.92,1400.44
O3,1468.80,1476.89,1431.05,1422.56,1420.07
Ofast,1464.54,1461.93,1428.59,1422.84,1417.32
xhost,1468.8,1476.89,1431.05,1422.56,1420.17
initial,426.535,303.406,231.540,251.755,215.306
